Seniority;Status;Category;FirstDivision;SecondDivision;RFEF1;RFEF2;RFEF3;Preferent;Regional1;Regional2;Regional3;Junior;Male;Sex;YearBorn;Age;DateBorn;MadridBorn;PlaceBorn;Spanish;PostCode;City;MainRef;AssRef;Role;textCategory;MadridOffice;AlcalaOffice;AranjuezOffice;Office;;Weight;Height;Profession;StartYear;StartDate;StartAge;DropYear;DropDate;DropAge;talent
7;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1986;35;07/10/1986;1;MADRID;1;28032;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2014;28/10/2014;28;2018;30/06/2018;32;0
25;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1972;49;27/07/1972;0;BADAJOZ;1;28047;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;OPERADOR;1996;01/03/1996;24;2014;30/06/2014;42;0
8;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1995;26;10/05/1995;1;GETAFE;1;28905;Getafe;1;0;ARBITRO;EXCEDENCIA SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2013;05/04/2013;18;2018;30/06/2018;23;0
9;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1995;26;03/09/1995;1;MADRID;1;28030;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2012;26/11/2012;17;2015;30/06/2015;20;0
12;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1969;52;11/07/1969;1;MADRID;1;28047;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;FONTANERO;2009;01/06/2009;40;2014;30/06/2014;45;0
2;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1998;23;29/07/1998;1;MADRID;1;28054;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;71;1.78;;2019;24/01/2019;21;;;;0
2;1;10;0;0;0;0;0;0;0;0;0;1;0;FEMENINO;2003;18;30/12/2003;1;MADRID;1;28041;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;64;1.67;;2019;09/07/2019;16;;;;0
7;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1994;27;19/01/1994;1;MADRID;1;28021;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;80;182;;2014;26/06/2014;20;2020;30/06/2020;26;0
23;0;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1981;40;14/01/1981;1;MADRID;1;28922;Alcorcón;1;0;ARBITRO;PREFERENTE;1;0;0;MADRID;;;;PROFESOR;1998;01/05/1998;17;2014;30/06/2014;33;0
3;1;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1992;29;17/03/1992;0;CACERES;1;28850;Torrejón De Ardoz;1;0;ARBITRO;PRIMERA AFICIONADOS;0;1;0;ALCALA DE HENARES;;76;176;;2018;05/07/2018;26;;;;0
